,id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
251007,59a13ceb,2021-06-09,33383714.0,598100.0,,458954154.0,324126137.0,177334244.0,153947620.0,15262.0,4478.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251008,59a13ceb,2021-06-10,33399513.0,598560.0,,459739199.0,325303229.0,177739683.0,154769267.0,14838.0,4383.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251009,59a13ceb,2021-06-11,33416340.0,599077.0,,460503784.0,326544221.0,178168641.0,155631661.0,14421.0,4300.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251010,59a13ceb,2021-06-12,33424619.0,599247.0,,461061377.0,327443326.0,178450294.0,156279042.0,13940.0,4186.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251011,59a13ceb,2021-06-13,33431406.0,599342.0,,461407012.0,327839088.0,178563805.0,156577925.0,13957.0,4049.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251012,59a13ceb,2021-06-14,33446525.0,599552.0,,462005017.0,328759101.0,178896548.0,157203653.0,13929.0,4068.0,,-2.0,-2.0,-2.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,63.54,61.57,65.48,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251013,59a13ceb,2021-06-15,33458397.0,600004.0,,462837195.0,329744485.0,179257897.0,157870547.0,13722.0,3939.0,,-2.0,-2.0,-2.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,63.54,61.57,65.48,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251014,59a13ceb,2021-06-16,33472808.0,600428.0,,463630486.0,330695630.0,179616231.0,158507464.0,13494.0,3879.0,,-2.0,-2.0,-2.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,63.54,61.57,65.48,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251015,59a13ceb,2021-06-17,33484995.0,600716.0,,464355874.0,331595411.0,179967748.0,159103536.0,13094.0,3806.0,,-2.0,-2.0,-2.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,63.54,61.57,65.48,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251016,59a13ceb,2021-06-18,33497695.0,601185.0,,465049873.0,332523845.0,180336534.0,159706319.0,12855.0,3739.0,,-2.0,-2.0,-2.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,63.54,61.57,65.48,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
